Total_Bsmt_SF,Gr_Liv_Area,Overall_Qual,Exter_Qual,Heating_QC,Kitchen_Qual,Garage_Finish,MS_SubClass,MS_Zoning,Lot_Config,Neighborhood,House_Style,Roof_Style,Exterior_1st,Exterior_2nd,Mas_Vnr_Type,Foundation,Garage_Type,SalePrice
725.0,1479,6,4,5,4,2,high,RL,CulDSac,low,2Story,Gable,HdBoard,Plywood,BrkFace,CBlock,Attchd,130500
913.0,2122,7,4,5,4,2,high,RL,CulDSac,mid,2Story,Gable,VinylSd,VinylSd,BrkFace,PConc,Attchd,220000
1057.0,1057,5,3,3,4,1,mid,RL,Inside,low,1Story,Gable,VinylSd,VinylSd,None,CBlock,Detchd,109000
384.0,1444,5,3,4,3,3,high,RL,Inside,mid,2Story,Gable,VinylSd,VinylSd,None,PConc,BuiltIn,174000
676.0,1445,6,3,3,3,1,low,RL,Inside,mid,1.5Fin,Gable,Wd Sdng,Plywood,None,PConc,Detchd,138500
1517.0,1888,6,4,5,4,3,mid,RL,Corner,low,1Story,Gable,BrkFace,Plywood,None,CBlock,Attchd,190000
547.0,1072,6,3,4,3,3,low,RM,Inside,low,SFoyer,Gable,VinylSd,VinylSd,BrkFace,PConc,Basment,140000
1188.0,1188,5,3,2,3,2,mid,RL,Inside,low,1Story,Hip,Plywood,Plywood,BrkFace,CBlock,Attchd,142000
924.0,924,5,3,3,3,1,mid,RL,Inside,low,1Story,Gable,Wd Sdng,Wd Sdng,None,CBlock,Detchd,112500
1040.0,2080,5,3,3,2,1,high,RL,Inside,low,2Story,Gable,Plywood,Plywood,BrkFace,PConc,Attchd,135000
483.0,987,6,3,3,3,1,mid,RM,Inside,low,2Story,Gable,HdBoard,HdBoard,BrkFace,CBlock,Detchd,85400
1208.0,1208,7,4,5,4,2,mid,RL,Inside,mid,1Story,Gable,VinylSd,VinylSd,None,PConc,Attchd,183600
0.0,2016,5,4,5,3,1,mid,RL,FR2,mid,2Story,Gable,HdBoard,HdBoard,None,PConc,Attchd,131000
960.0,1607,8,4,5,4,1,mid,FV,Inside,mid,2Story,Gable,MetalSd,MetalSd,BrkFace,PConc,Detchd,200000
1351.0,1361,7,4,5,4,2,mid,RL,Inside,mid,1Story,Gable,VinylSd,VinylSd,None,PConc,Attchd,193000
1430.0,1430,5,3,5,4,2,mid,RL,Inside,low,1Story,Gable,VinylSd,VinylSd,None,PConc,Attchd,173500
624.0,1344,5,3,2,3,1,mid,RM,Inside,low,2Story,Gable,AsbShng,AsbShng,None,BrkTil,Detchd,98000
1121.0,1121,5,3,3,3,1,mid,RL,Corner,low,1Story,Gable,VinylSd,VinylSd,None,PConc,Detchd,139000
660.0,1285,6,3,5,3,2,mid,RL,Inside,low,1Story,Gable,Plywood,Plywood,BrkFace,CBlock,Attchd,143500
756.0,1547,7,3,5,4,1,high,FV,Inside,mid,2Story,Gable,VinylSd,VinylSd,None,PConc,Attchd,215200
894.0,894,5,3,4,3,3,mid,RL,Inside,low,1Story,Gable,VinylSd,VinylSd,None,CBlock,Attchd,129000
1501.0,1659,8,4,5,5,3,high,RL,Inside,high,1Story,Gable,CemntBd,CmentBd,None,PConc,Attchd,278000
1209.0,2253,8,4,5,5,3,high,RL,Corner,high,2Story,Gable,CemntBd,CmentBd,None,PConc,Attchd,344133
1168.0,1187,6,3,5,3,3,mid,RL,Inside,mid,1Story,Gable,HdBoard,HdBoard,None,PConc,Attchd,185000
1056.0,1056,5,3,3,3,3,low,RL,Inside,mid,1Story,Hip,Wd Sdng,Wd Sdng,None,CBlock,Attchd,145000
1453.0,1453,6,3,5,3,2,mid,RL,Corner,low,1Story,Hip,MetalSd,MetalSd,BrkFace,CBlock,Attchd,187500
894.0,894,5,3,5,3,1,mid,RL,Inside,low,1Story,Gable,MetalSd,MetalSd,None,CBlock,Detchd,138500
942.0,1938,5,3,5,4,1,low,RL,Inside,mid,1.5Fin,Gable,WdShing,Wd Shng,None,CBlock,Detchd,198000
957.0,1991,5,3,2,3,0,low,C (all),Inside,low,2Story,Gable,VinylSd,VinylSd,None,CBlock,NA,119600
672.0,924,5,3,5,3,1,low,RL,Corner,low,1.5Fin,Gable,MetalSd,MetalSd,None,CBlock,Detchd,122900
2524.0,2524,8,4,3,4,3,mid,RL,Inside,mid,1Story,Hip,BrkFace,BrkFace,None,PConc,Attchd,278000
792.0,1517,8,3,2,4,1,mid,RL,Corner,mid,2Story,Gable,BrkFace,Stucco,None,PConc,Detchd,230000
1494.0,1494,8,4,5,5,3,high,RL,CulDSac,high,1Story,Hip,BrkFace,BrkFace,None,PConc,Attchd,270000
948.0,948,6,3,3,3,1,mid,RL,Inside,low,1Story,Hip,Wd Sdng,Wd Sdng,None,CBlock,Detchd,125000
1705.0,1718,8,4,5,4,2,mid,RL,Inside,mid,1Story,Hip,VinylSd,VinylSd,Stone,PConc,Attchd,297000
160.0,1142,6,3,2,3,2,mid,RL,Inside,low,1Story,Flat,Wd Sdng,Wd Sdng,BrkFace,CBlock,Basment,113500
757.0,1475,5,3,5,3,2,mid,RM,Inside,low,2Story,Gable,CemntBd,CmentBd,None,PConc,Attchd,127000
1844.0,1844,6,3,5,3,2,mid,RL,Inside,mid,1Story,Hip,Plywood,Plywood,BrkFace,CBlock,Attchd,190000
1242.0,1242,7,3,2,3,1,mid,RL,Inside,mid,1Story,Hip,HdBoard,HdBoard,BrkFace,CBlock,Attchd,175500
990.0,990,5,3,5,3,1,mid,RL,Inside,mid,1Story,Gable,VinylSd,VinylSd,None,PConc,Detchd,146000
1256.0,1256,5,4,4,3,3,mid,RL,Inside,low,1Story,Gable,HdBoard,HdBoard,None,CBlock,Attchd,147500
2076.0,2076,10,5,5,5,3,mid,RL,Inside,high,1Story,Gable,VinylSd,VinylSd,None,PConc,Attchd,465000
1097.0,1110,5,3,5,4,3,mid,RL,Corner,low,SFoyer,Gable,Plywood,Plywood,BrkFace,PConc,Attchd,165500
1050.0,1795,5,3,5,3,1,low,RM,Inside,low,1.5Fin,Gable,MetalSd,MetalSd,BrkFace,BrkTil,Attchd,131500
1040.0,1040,5,3,5,3,1,mid,RL,Inside,low,1Story,Hip,HdBoard,HdBoard,None,CBlock,Detchd,129500
608.0,1873,8,3,3,3,3,mid,RL,Inside,mid,2Story,Gable,BrkFace,Stucco,Stone,PConc,Detchd,257076
984.0,1604,5,3,5,3,1,low,RL,Inside,low,1.5Fin,Gable,Wd Sdng,Wd Sdng,None,CBlock,Detchd,117000
776.0,1502,7,3,3,3,2,mid,RL,Inside,mid,2Story,Gable,Stucco,Wd Shng,None,BrkTil,Attchd,149000
1056.0,1063,5,3,3,3,2,mid,RL,Inside,low,1Story,Gable,HdBoard,HdBoard,Stone,CBlock,Attchd,128000
764.0,1626,7,4,5,4,2,mid,RL,Inside,high,2Story,Gable,VinylSd,Wd Shng,Stone,PConc,BuiltIn,155000
756.0,1524,6,4,5,4,1,mid,FV,Inside,mid,2Story,Gable,MetalSd,MetalSd,BrkFace,PConc,Detchd,166000
1122.0,1981,4,3,3,4,1,low,RL,Inside,low,1.5Fin,Gable,WdShing,Plywood,None,BrkTil,Detchd,135000
1392.0,2784,7,3,3,4,2,high,RL,Inside,mid,2Story,Gable,Plywood,Plywood,BrkFace,CBlock,Attchd,250000
546.0,1092,4,3,5,3,0,mid,RM,Inside,low,2Story,Gable,CemntBd,CmentBd,None,CBlock,NA,76000
216.0,1575,6,3,3,4,1,mid,RL,Corner,low,1Story,Hip,Wd Sdng,Wd Sdng,BrkFace,CBlock,Attchd,155000
663.0,1352,6,3,3,3,3,high,RL,Corner,low,2Story,Gable,HdBoard,HdBoard,Stone,CBlock,Attchd,158000
600.0,1200,7,4,5,4,2,mid,FV,Inside,mid,2Story,Gable,MetalSd,MetalSd,None,PConc,Detchd,149500
936.0,936,5,3,3,3,1,mid,RL,Inside,low,1Story,Gable,MetalSd,MetalSd,None,CBlock,Attchd,121000
1040.0,1040,6,3,3,3,3,mid,RL,Inside,low,1Story,Hip,Wd Sdng,Wd Sdng,None,CBlock,Attchd,136000
